RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,TOT_COHORT,TOT_OVERALL,TOT_APPREN,TOT_EDUCATION,TOT_FE,TOT_HE,TOT_OTHER_EDU,TOT_EMPLOYMENT,TOT_NOT_SUSTAINED,TOT_NOT_CAPTURED,TOT_OVERALLPER,TOT_APPRENPER,TOT_EDUCATIONPER,TOT_FEPER,TOT_HEPER,TOT_OTHER_EDUPER,TOT_EMPLOYMENTPER,TOT_NOT_SUSTAINEDPER,TOT_NOT_CAPTUREDPER,TOT_COHORT_DIS,TOT_OVERALL_DIS,TOT_APPREN_DIS,TOT_EDUCATION_DIS,TOT_FE_DIS,TOT_HE_DIS,TOT_OTHER_EDU_DIS,TOT_EMPLOYMENT_DIS,TOT_NOT_SUSTAINED_DIS,TOT_NOT_CAPTURED_DIS,TOT_OVERALLPER_DIS,TOT_APPRENPER_DIS,TOT_EDUCATIONPER_DIS,TOT_FEPER_DIS,TOT_HEPER_DIS,TOT_OTHER_EDUPER_DIS,TOT_EMPLOYMENTPER_DIS,TOT_NOT_SUSTAINEDPER_DIS,TOT_NOT_CAPTUREDPER_DIS,TOT_COHORT_NONDIS,TOT_OVERALL_NONDIS,TOT_APPREN_NONDIS,TOT_EDUCATION_NONDIS,TOT_FE_NONDIS,TOT_HE_NONDIS,TOT_OTHER_EDU_NONDIS,TOT_EMPLOYMENT_NONDIS,TOT_NOT_SUSTAINED_NONDIS,TOT_NOT_CAPTURED_NONDIS,TOT_OVERALLPER_NONDIS,TOT_APPRENPER_NONDIS,TOT_EDUCATIONPER_NONDIS,TOT_FEPER_NONDIS,TOT_HEPER_NONDIS,TOT_OTHER_EDUPER_NONDIS,TOT_EMPLOYMENTPER_NONDIS,TOT_NOT_SUSTAINEDPER_NONDIS,TOT_NOT_CAPTUREDPER_NONDIS,L3_COHORT,L3_OVERALL,L3_APPREN,L3_EDUCATION,L3_FE,L3_HE,L3_OTHER_EDU,L3_EMPLOYMENT,L3_NOT_SUSTAINED,L3_NOT_CAPTURED,L3_OVERALLPER,L3_APPRENPER,L3_EDUCATIONPER,L3_FEPER,L3_HEPER,L3_OTHER_EDUPER,L3_EMPLOYMENTPER,L3_NOT_SUSTAINEDPER,L3_NOT_CAPTUREDPER,L3_COHORT_DIS,L3_OVERALL_DIS,L3_APPREN_DIS,L3_EDUCATION_DIS,L3_FE_DIS,L3_HE_DIS,L3_OTHER_EDU_DIS,L3_EMPLOYMENT_DIS,L3_NOT_SUSTAINED_DIS,L3_NOT_CAPTURED_DIS,L3_OVERALLPER_DIS,L3_APPRENPER_DIS,L3_EDUCATIONPER_DIS,L3_FEPER_DIS,L3_HEPER_DIS,L3_OTHER_EDUPER_DIS,L3_EMPLOYMENTPER_DIS,L3_NOT_SUSTAINEDPER_DIS,L3_NOT_CAPTUREDPER_DIS,L3_COHORT_NONDIS,L3_OVERALL_NONDIS,L3_APPREN_NONDIS,L3_EDUCATION_NONDIS,L3_FE_NONDIS,L3_HE_NONDIS,L3_OTHER_EDU_NONDIS,L3_EMPLOYMENT_NONDIS,L3_NOT_SUSTAINED_NONDIS,L3_NOT_CAPTURED_NONDIS,L3_OVERALLPER_NONDIS,L3_APPRENPER_NONDIS,L3_EDUCATIONPER_NONDIS,L3_FEPER_NONDIS,L3_HEPER_NONDIS,L3_OTHER_EDUPER_NONDIS,L3_EMPLOYMENTPER_NONDIS,L3_NOT_SUSTAINEDPER_NONDIS,L3_NOT_CAPTUREDPER_NONDIS,L2_COHORT,L2_OVERALL,L2_APPREN,L2_EDUCATION,L2_FE,L2_HE,L2_OTHER_EDU,L2_EMPLOYMENT,L2_NOT_SUSTAINED,L2_NOT_CAPTURED,L2_OVERALLPER,L2_APPRENPER,L2_EDUCATIONPER,L2_FEPER,L2_HEPER,L2_OTHER_EDUPER,L2_EMPLOYMENTPER,L2_NOT_SUSTAINEDPER,L2_NOT_CAPTUREDPER,L2_COHORT_DIS,L2_OVERALL_DIS,L2_APPREN_DIS,L2_EDUCATION_DIS,L2_FE_DIS,L2_HE_DIS,L2_OTHER_EDU_DIS,L2_EMPLOYMENT_DIS,L2_NOT_SUSTAINED_DIS,L2_NOT_CAPTURED_DIS,L2_OVERALLPER_DIS,L2_APPRENPER_DIS,L2_EDUCATIONPER_DIS,L2_FEPER_DIS,L2_HEPER_DIS,L2_OTHER_EDUPER_DIS,L2_EMPLOYMENTPER_DIS,L2_NOT_SUSTAINEDPER_DIS,L2_NOT_CAPTUREDPER_DIS,L2_COHORT_NONDIS,L2_OVERALL_NONDIS,L2_APPREN_NONDIS,L2_EDUCATION_NONDIS,L2_FE_NONDIS,L2_HE_NONDIS,L2_OTHER_EDU_NONDIS,L2_EMPLOYMENT_NONDIS,L2_NOT_SUSTAINED_NONDIS,L2_NOT_CAPTURED_NONDIS,L2_OVERALLPER_NONDIS,L2_APPRENPER_NONDIS,L2_EDUCATIONPER_NONDIS,L2_FEPER_NONDIS,L2_HEPER_NONDIS,L2_OTHER_EDUPER_NONDIS,L2_EMPLOYMENTPER_NONDIS,L2_NOT_SUSTAINEDPER_NONDIS,L2_NOT_CAPTUREDPER_NONDIS,LALLOTH_COHORT,LALLOTH_OVERALL,LALLOTH_APPREN,LALLOTH_EDUCATION,LALLOTH_FE,LALLOTH_HE,LALLOTH_OTHER_EDU,LALLOTH_EMPLOYMENT,LALLOTH_NOT_SUSTAINED,LALLOTH_NOT_CAPTURED,LALLOTH_OVERALLPER,LALLOTH_APPRENPER,LALLOTH_EDUCATIONPER,LALLOTH_FEPER,LALLOTH_HEPER,LALLOTH_OTHER_EDUPER,LALLOTH_EMPLOYMENTPER,LALLOTH_NOT_SUSTAINEDPER,LALLOTH_NOT_CAPTUREDPER,LALLOTH_COHORT_DIS,LALLOTH_OVERALL_DIS,LALLOTH_APPREN_DIS,LALLOTH_EDUCATION_DIS,LALLOTH_FE_DIS,LALLOTH_HE_DIS,LALLOTH_OTHER_EDU_DIS,LALLOTH_EMPLOYMENT_DIS,LALLOTH_NOT_SUSTAINED_DIS,LALLOTH_NOT_CAPTURED_DIS,LALLOTH_OVERALLPER_DIS,LALLOTH_APPRENPER_DIS,LALLOTH_EDUCATIONPER_DIS,LALLOTH_FEPER_DIS,LALLOTH_HEPER_DIS,LALLOTH_OTHER_EDUPER_DIS,LALLOTH_EMPLOYMENTPER_DIS,LALLOTH_NOT_SUSTAINEDPER_DIS,LALLOTH_NOT_CAPTUREDPER_DIS,LALLOTH_COHORT_NONDIS,LALLOTH_OVERALL_NONDIS,LALLOTH_APPREN_NONDIS,LALLOTH_EDUCATION_NONDIS,LALLOTH_FE_NONDIS,LALLOTH_HE_NONDIS,LALLOTH_OTHER_EDU_NONDIS,LALLOTH_EMPLOYMENT_NONDIS,LALLOTH_NOT_SUSTAINED_NONDIS,LALLOTH_NOT_CAPTURED_NONDIS,LALLOTH_OVERALLPER_NONDIS,LALLOTH_APPRENPER_NONDIS,LALLOTH_EDUCATIONPER_NONDIS,LALLOTH_FEPER_NONDIS,LALLOTH_HEPER_NONDIS,LALLOTH_OTHER_EDUPER_NONDIS,LALLOTH_EMPLOYMENTPER_NONDIS,LALLOTH_NOT_SUSTAINEDPER_NONDIS,LALLOTH_NOT_CAPTUREDPER_NONDIS
1,211,4297,100973,Swanlea School,CY,0,0,119,95,5,76,0,74,2,14,22,2,80%,4%,64%,0%,62%,2%,12%,18%,2%,63,48,SUPP,SUPP,0,SUPP,SUPP,SUPP,SUPP,SUPP,76%,SUPP,SUPP,0%,SUPP,SUPP,SUPP,SUPP,SUPP,56,47,SUPP,SUPP,0,SUPP,SUPP,SUPP,SUPP,SUPP,84%,SUPP,SUPP,0%,SUPP,SUPP,SUPP,SUPP,SUPP,116,93,3,76,0,74,2,14,21,2,80%,3%,66%,0%,64%,2%,12%,18%,2%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,211,4505,100974,George Green's School,VC,0,0,92,70,3,53,0,51,2,14,10,12,76%,3%,58%,0%,55%,2%,15%,11%,13%,75,60,SUPP,45,0,SUPP,SUPP,SUPP,5,10,80%,SUPP,60%,0%,SUPP,SUPP,SUPP,7%,13%,17,10,SUPP,8,0,SUPP,SUPP,SUPP,5,2,59%,SUPP,47%,0%,SUPP,SUPP,SUPP,29%,12%,78,65,3,53,0,51,2,9,5,8,83%,4%,68%,0%,65%,3%,12%,6%,10%,65,SUPP,SUPP,45,0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,69%,0%,SUPP,SUPP,SUPP,SUPP,SUPP,13,SUPP,SUPP,8,0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,62%,0%,SUPP,SUPP,SUPP,SUPP,SUPP,7,3,0,0,0,0,0,3,4,0,43%,0%,0%,0%,0%,0%,43%,57%,0%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,7,2,0,0,0,0,0,2,1,4,29%,0%,0%,0%,0%,0%,29%,14%,57%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,211,4507,100975,Central Foundation Girls' School,VA,0,0,187,162,13,130,0,127,3,19,18,7,87%,7%,70%,0%,68%,2%,10%,10%,4%,89,72,7,57,0,SUPP,SUPP,8,SUPP,SUPP,81%,8%,64%,0%,SUPP,SUPP,9%,SUPP,SUPP,98,90,6,73,0,SUPP,SUPP,11,SUPP,SUPP,92%,6%,74%,0%,SUPP,SUPP,11%,SUPP,SUPP,184,159,12,129,0,127,2,18,18,7,86%,7%,70%,0%,69%,1%,10%,10%,4%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,211,4722,100977,Stepney All Saints Church of England Secondary School,VA,0,0,225,192,6,159,0,157,2,27,25,8,85%,3%,71%,0%,70%,1%,12%,11%,4%,109,91,3,76,0,SUPP,SUPP,12,15,3,83%,3%,70%,0%,SUPP,SUPP,11%,14%,3%,116,101,3,83,0,SUPP,SUPP,15,10,5,87%,3%,72%,0%,SUPP,SUPP,13%,9%,4%,212,186,5,157,0,157,0,24,20,6,88%,2%,74%,0%,74%,0%,11%,9%,3%,100,87,SUPP,SUPP,0,SUPP,0,SUPP,SUPP,SUPP,87%,SUPP,SUPP,0%,SUPP,0%,SUPP,SUPP,SUPP,112,99,SUPP,SUPP,0,SUPP,0,SUPP,SUPP,SUPP,88%,SUPP,SUPP,0%,SUPP,0%,SUPP,SUPP,SUPP,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,10,4,0,1,0,0,1,3,5,1,40%,0%,10%,0%,0%,10%,30%,50%,10%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,211,4726,150606,Bishop Challoner Catholic School,ACC,0,0,117,99,6,79,2,77,0,14,14,4,85%,5%,68%,2%,66%,0%,12%,12%,3%,51,41,SUPP,31,SUPP,SUPP,0,SUPP,SUPP,SUPP,80%,SUPP,61%,SUPP,SUPP,0%,SUPP,SUPP,SUPP,66,58,SUPP,48,SUPP,SUPP,0,SUPP,SUPP,SUPP,88%,SUPP,73%,SUPP,SUPP,0%,SUPP,SUPP,SUPP,111,96,6,78,1,77,0,12,11,4,86%,5%,70%,1%,69%,0%,11%,10%,4%,47,SUPP,SUPP,SUPP,SUPP,SUPP,0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,64,SUPP,SUPP,SUPP,SUPP,SUPP,0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,5,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,211,8066,130418,New City College,General Further Education College,0,0,4145,2875,275,1383,418,950,15,1217,870,400,69%,7%,33%,10%,23%,SP,29%,21%,10%,1399,885,87,430,120,303,7,368,391,123,63%,6%,31%,9%,22%,1%,26%,28%,9%,2746,1990,188,953,298,647,8,849,479,277,72%,7%,35%,11%,24%,SP,31%,17%,10%,2491,1920,138,1024,81,934,9,758,406,165,77%,6%,41%,3%,37%,SP,30%,16%,7%,765,562,38,330,30,297,3,194,153,50,73%,5%,43%,4%,39%,SP,25%,20%,7%,1726,1358,100,694,51,637,6,564,253,115,79%,6%,40%,3%,37%,SP,33%,15%,7%,879,538,71,202,188,12,2,265,232,109,61%,8%,23%,21%,1%,SP,30%,26%,12%,358,192,29,55,51,SUPP,SUPP,108,136,30,54%,8%,15%,14%,SUPP,SUPP,30%,38%,8%,521,346,42,147,137,SUPP,SUPP,157,96,79,66%,8%,28%,26%,SUPP,SUPP,30%,18%,15%,775,417,66,157,149,4,4,194,232,126,54%,9%,20%,19%,1%,1%,25%,30%,16%,276,131,20,45,39,SUPP,SUPP,66,102,43,47%,7%,16%,14%,SUPP,SUPP,24%,37%,16%,499,286,46,112,110,SUPP,SUPP,128,130,83,57%,9%,22%,22%,SUPP,SUPP,26%,26%,17%
1,211,4242,143629,Mulberry School for Girls,ACC,0,0,193,162,15,129,3,125,1,18,24,7,84%,8%,67%,2%,65%,1%,9%,12%,4%,85,69,6,57,SUPP,SUPP,SUPP,6,14,2,81%,7%,67%,SUPP,SUPP,SUPP,7%,16%,2%,108,93,9,72,SUPP,SUPP,SUPP,12,10,5,86%,8%,67%,SUPP,SUPP,SUPP,11%,9%,5%,180,154,11,126,1,125,0,17,20,6,86%,6%,70%,1%,69%,0%,9%,11%,3%,78,65,SUPP,SUPP,SUPP,SUPP,0,SUPP,SUPP,SUPP,83%,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,102,89,SUPP,SUPP,SUPP,SUPP,0,SUPP,SUPP,SUPP,87%,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,7,4,0,3,2,0,1,1,2,1,57%,0%,43%,29%,0%,14%,14%,29%,14%,3,SUPP,0,SUPP,SUPP,0,SUPP,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,0%,SUPP,SUPP,SUPP,SUPP,4,SUPP,0,SUPP,SUPP,0,SUPP,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,0%,SUPP,SUPP,SUPP,SUPP,6,4,4,0,0,0,0,0,2,0,67%,67%,0%,0%,0%,0%,0%,33%,0%,4,SUPP,SUPP,0,0,0,0,0,SUPP,0,SUPP,SUPP,0%,0%,0%,0%,0%,SUPP,0%,2,SUPP,SUPP,0,0,0,0,0,SUPP,0,SUPP,SUPP,0%,0%,0%,0%,0%,SUPP,0%
1,211,4276,144700,Mulberry Stepney Green Mathematics and Computing College,ACC,0,0,162,135,8,115,2,108,5,12,18,9,83%,5%,71%,1%,67%,3%,7%,11%,6%,58,50,SUPP,42,SUPP,SUPP,SUPP,SUPP,4,4,86%,SUPP,72%,SUPP,SUPP,SUPP,SUPP,7%,7%,104,85,SUPP,73,SUPP,SUPP,SUPP,SUPP,14,5,82%,SUPP,70%,SUPP,SUPP,SUPP,SUPP,13%,5%,156,134,8,114,1,108,5,12,14,8,86%,5%,73%,1%,69%,3%,8%,9%,5%,56,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,5%,SUPP,100,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,11,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,11%,SUPP,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,5,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,211,4277,143379,St Paul's Way Trust School,ACC,0,0,101,94,2,76,0,76,0,16,6,1,93%,2%,75%,0%,75%,0%,16%,6%,1%,44,39,SUPP,SUPP,0,SUPP,0,SUPP,SUPP,SUPP,89%,SUPP,SUPP,0%,SUPP,0%,SUPP,SUPP,SUPP,57,55,SUPP,SUPP,0,SUPP,0,SUPP,SUPP,SUPP,96%,SUPP,SUPP,0%,SUPP,0%,SUPP,SUPP,SUPP,100,93,2,76,0,76,0,15,6,1,93%,2%,76%,0%,76%,0%,15%,6%,1%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,211,4284,137789,Mulberry Academy Shoreditch,ACC,0,0,191,150,6,111,5,106,0,33,30,11,79%,3%,58%,3%,55%,0%,17%,16%,6%,127,99,SUPP,73,SUPP,SUPP,0,SUPP,20,8,78%,SUPP,57%,SUPP,SUPP,0%,SUPP,16%,6%,64,51,SUPP,38,SUPP,SUPP,0,SUPP,10,3,80%,SUPP,59%,SUPP,SUPP,0%,SUPP,16%,5%,179,144,6,111,5,106,0,27,27,8,80%,3%,62%,3%,59%,0%,15%,15%,4%,120,SUPP,SUPP,73,SUPP,SUPP,0,19,SUPP,SUPP,SUPP,SUPP,61%,SUPP,SUPP,0%,16%,SUPP,SUPP,59,SUPP,SUPP,38,SUPP,SUPP,0,8,SUPP,SUPP,SUPP,SUPP,64%,SUPP,SUPP,0%,14%,SUPP,SUPP,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,8,6,0,0,0,0,0,6,2,0,75%,0%,0%,0%,0%,0%,75%,25%,0%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,211,4296,100972,Oaklands School,CY,0,0,80,68,10,38,0,36,2,20,9,3,85%,13%,48%,0%,45%,3%,25%,11%,4%,50,42,6,26,0,SUPP,SUPP,10,SUPP,SUPP,84%,12%,52%,0%,SUPP,SUPP,20%,SUPP,SUPP,30,26,4,12,0,SUPP,SUPP,10,SUPP,SUPP,87%,13%,40%,0%,SUPP,SUPP,33%,SUPP,SUPP,73,63,8,38,0,36,2,17,7,3,86%,11%,52%,0%,49%,3%,23%,10%,4%,47,40,SUPP,26,0,SUPP,SUPP,SUPP,SUPP,SUPP,85%,SUPP,55%,0%,SUPP,SUPP,SUPP,SUPP,SUPP,26,23,SUPP,12,0,SUPP,SUPP,SUPP,SUPP,SUPP,88%,SUPP,46%,0%,SUPP,SUPP,SUPP,SUPP,SUPP,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,6,4,2,0,0,0,0,2,2,0,67%,33%,0%,0%,0%,0%,33%,33%,0%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
